country,year,start,end,protest_duration,region,location,participants_category,protesterdemand1,stateresponse1,total protests
Ireland,2018,2018-04-01,2018-04-01,0 days,Europe,Limerick,1000-1999,land farm issue,ignore,34
Ireland,2018,2018-07-01,2018-07-01,0 days,Europe,Tralee,100-999,land farm issue,ignore,34
Ireland,2018,2018-09-10,2018-09-10,0 days,Europe,Galway,50-99,"political behavior, process",ignore,34
Ireland,2018,2018-09-12,2018-09-12,0 days,Europe,"34 North Frederick Street, Dublin 1",100-999,police brutality,ignore,34
Ireland,2018,2018-09-19,2018-09-19,0 days,Europe,"Leinster House, Kildare Street",1000-1999,labor wage dispute,ignore,34
Ireland,2018,2018-10-03,2018-10-03,0 days,Europe,"Molesworth Street, Dublin",>10000,"political behavior, process",ignore,34
Ireland,2018,2018-11-14,2018-11-14,0 days,Europe,"In five cities across Ireland, including the Spire on O Connell Street in Dublin; the court complex in Cork; Limerick",1000-1999,"political behavior, process",ignore,34
Ireland,2018,2018-12-23,2018-12-23,0 days,Europe,"Strokestown, Co Roscommon",100-999,land farm issue,accomodation,34
Belgium,2016,2016-02-15,2016-02-15,0 days,Europe,Brussels,5000-10000,"political behavior, process",ignore,10
Belgium,2016,2016-03-28,2016-03-28,0 days,Europe,Brussels,100-999,"political behavior, process",crowd dispersal,10
Belgium,2016,2016-04-02,2016-04-02,0 days,Europe,Brussels,50-99,"political behavior, process",crowd dispersal,10
Belgium,2016,2016-04-04,2016-04-04,0 days,Europe,Molenbeek,100-999,"political behavior, process",arrests,10
Belgium,2016,2016-05-24,2016-05-24,0 days,Europe,Brussels,>10000,"political behavior, process",crowd dispersal,10
Belgium,2018,2018-01-15,2018-01-15,0 days,Europe,Gare du Nord Brussels,2000-4999,police brutality,ignore,10
Belgium,2018,2018-11-20,2018-11-20,0 days,Europe,Brussels,100-999,removal of politician,arrests,10
Belgium,2018,2018-12-08,2018-12-08,0 days,Europe,Belgium,1000-1999,"political behavior, process",arrests,10
Belgium,2018,2018-12-16,2018-12-16,0 days,Europe,Brussels,1000-1999,"political behavior, process",ignore,10
Belgium,2018,2018-12-16,2018-12-16,0 days,Europe,Brussels,5000-10000,"political behavior, process",arrests,10
France,2016,2016-01-15,2016-01-15,0 days,Europe,Paris,100-999,"political behavior, process",ignore,110
France,2016,2016-01-23,2016-01-23,0 days,Europe,Calais,2000-4999,"political behavior, process",crowd dispersal,110
France,2016,2016-01-26,2016-01-26,0 days,Europe,"National, Paris, Lyons",>10000,"political behavior, process",arrests,110
France,2016,2016-01-26,2016-01-26,0 days,Europe,Paris,2000-4999,"political behavior, process",crowd dispersal,110
France,2016,2016-01-28,2016-01-28,0 days,Europe,Paris,2000-4999,"political behavior, process",ignore,110
France,2016,2016-02-06,2016-02-06,0 days,Europe,Calais,100-999,"political behavior, process",arrests,110
France,2016,2016-02-15,2016-02-15,0 days,Europe,Bordeaux,100-999,"political behavior, process",accomodation,110
France,2016,2016-02-17,2016-02-17,0 days,Europe,Aveyron,50-99,"price increases, tax policy",accomodation,110
France,2016,2016-02-24,2016-02-24,0 days,Europe,Calais,50-99,"political behavior, process",crowd dispersal,110
France,2016,2016-02-28,2016-02-28,0 days,Europe,Calais,50-99,"political behavior, process",crowd dispersal,110
France,2016,2016-03-01,2016-03-01,0 days,Europe,Calais,50-99,"political behavior, process",crowd dispersal,110
France,2016,2016-03-02,2016-03-02,0 days,Europe,Calais,50-99,"political behavior, process",crowd dispersal,110
France,2016,2016-03-09,2016-03-09,0 days,Europe,"National, Paris",>10000,labor wage dispute,ignore,110
France,2016,2016-03-17,2016-03-17,0 days,Europe,National,>10000,labor wage dispute,ignore,110
France,2016,2016-03-31,2016-03-31,0 days,Europe,"National Paris, Rennes, Brittany, Rouen, Normandy, Nantes, Grenoble in the Alps, Toulouse, Marseille",>10000,labor wage dispute,crowd dispersal,110
France,2016,2016-04-05,2016-04-05,0 days,Europe,"Paris, Rennes",100-999,labor wage dispute,arrests,110
France,2016,2016-04-28,2016-04-28,0 days,Europe,"National, Marseille",2000-4999,labor wage dispute,crowd dispersal,110
France,2016,2016-05-10,2016-05-10,0 days,Europe,"Parliament, Paris",100-999,"political behavior, process",ignore,110
France,2016,2016-05-12,2016-05-12,0 days,Europe,"Paris, National",2000-4999,"political behavior, process",ignore,110
France,2016,2016-05-17,2016-05-17,0 days,Europe,Paris,100-999,"political behavior, process",crowd dispersal,110
France,2016,2016-05-17,2016-05-17,0 days,Europe,"Paris, Nantes, Marseille, Lille",100-999,"political behavior, process",crowd dispersal,110
France,2016,2016-05-18,2016-05-18,0 days,Europe,Paris,100-999,"political behavior, process",ignore,110
France,2016,2016-05-18,2016-05-18,0 days,Europe,Paris,50-99,police brutality,ignore,110
France,2016,2016-05-22,2016-06-24,33 days,Europe,Northern and Western France,100-999,labor wage dispute,crowd dispersal,110
France,2016,2016-05-25,2016-05-25,0 days,Europe,Douchy les Mines,50-99,"political behavior, process",crowd dispersal,110
France,2016,2016-05-26,2016-05-26,0 days,Europe,"Paris, Marseille, National",>10000,"political behavior, process",crowd dispersal,110
France,2016,2016-05-27,2016-05-27,0 days,Europe,Donges,100-999,"political behavior, process",ignore,110
France,2016,2016-06-02,2016-06-02,0 days,Europe,Nantes,50-99,"political behavior, process",crowd dispersal,110
France,2016,2016-06-06,2016-06-06,0 days,Europe,Montreal,50-99,"political behavior, process",ignore,110
France,2016,2016-06-08,2016-06-08,0 days,Europe,Paris,2000-4999,"political behavior, process",ignore,110
France,2016,2016-06-15,2016-06-15,0 days,Europe,"Paris, National",>10000,"political behavior, process",crowd dispersal,110
France,2016,2016-06-22,2016-06-22,0 days,Europe,Paris,50-99,"political behavior, process",ignore,110
France,2016,2016-06-28,2016-06-28,0 days,Europe,Paris,>10000,"political behavior, process",crowd dispersal,110
France,2016,2016-07-23,2016-07-23,0 days,Europe,Paris,100-999,police brutality,ignore,110
France,2016,2016-09-01,2016-09-01,0 days,Europe,Paris,>10000,"political behavior, process",ignore,110
France,2016,2016-09-05,2016-09-05,0 days,Europe,Calais,100-999,"political behavior, process",ignore,110
France,2016,2016-09-05,2016-09-05,0 days,Europe,Forges les Bains,100-999,"political behavior, process",ignore,110
France,2016,2016-09-15,2016-09-15,0 days,Europe,Paris,100-999,"political behavior, process",crowd dispersal,110
France,2016,2016-09-24,2016-09-24,0 days,Europe,"Versailles, Louveciennes",1000-1999,"political behavior, process",ignore,110
France,2016,2016-10-01,2016-10-01,0 days,Europe,Warsaw,2000-4999,"political behavior, process",ignore,110
France,2016,2016-10-23,2016-10-23,0 days,Europe,Calais,50-99,"political behavior, process",ignore,110
France,2016,2016-10-24,2016-10-24,0 days,Europe,Croisilles,100-999,"political behavior, process",ignore,110
France,2016,2016-10-25,2016-10-25,0 days,Europe,Pierrefeu du Var,50-99,"political behavior, process",ignore,110
France,2016,2016-10-25,2016-10-25,0 days,Europe,Pierrefeu du Var,50-99,"political behavior, process",ignore,110
France,2016,2016-10-26,2016-10-26,0 days,Europe,Calais,50-99,"political behavior, process",ignore,110
France,2016,2016-10-27,2016-10-27,0 days,Europe,SAINT BAUZILLE DE PUTOIS,50-99,"political behavior, process",ignore,110
France,2016,2016-10-31,2016-10-31,0 days,Europe,Paris,50-99,"political behavior, process",ignore,110
France,2016,2016-12-01,2016-12-01,0 days,Europe,La Tour d Aigues,100-999,"political behavior, process",crowd dispersal,110
France,2016,2016-12-01,2016-12-01,0 days,Europe,La Tour d Aigues,100-999,"political behavior, process",crowd dispersal,110
France,2017,2017-02-05,2017-02-16,11 days,Europe,"Bobigny, Argenteuil and Ulis in Paris, Nantes, Toulouse, Rouen, Normandy, Lille",100-999,police brutality,crowd dispersal,110
France,2017,2017-02-23,2017-02-23,0 days,Europe,Paris,100-999,police brutality,crowd dispersal,110
France,2017,2017-03-07,2017-03-07,0 days,Europe,lyc es in Saint Denis,50-99,police brutality,arrests,110
France,2017,2017-03-14,2017-03-14,0 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2017,2017-03-27,2017-03-27,0 days,Europe,French Guiana,50-99,labor wage dispute,ignore,110
France,2017,2017-03-27,2017-03-27,0 days,Europe,Paris,50-99,police brutality,arrests,110
France,2017,2017-04-27,2017-04-27,0 days,Europe,Paris; Rennes; Nantes; Toulouse,2000-4999,"political behavior, process",ignore,110
France,2017,2017-04-28,2017-04-28,0 days,Europe,Paris,100-999,police brutality,ignore,110
France,2017,2017-05-01,2017-05-01,0 days,Europe,national,>10000,labor wage dispute,crowd dispersal,110
France,2017,2017-05-08,2017-05-08,0 days,Europe,Paris,2000-4999,labor wage dispute,ignore,110
France,2017,2017-06-06,2017-06-06,0 days,Europe,Paris,100-999,labor wage dispute,ignore,110
France,2017,2017-06-26,2017-06-26,0 days,Europe,Marseilles,50-99,labor wage dispute,ignore,110
France,2017,2017-08-26,2017-08-26,0 days,Europe,Paris,100-999,labor wage dispute,ignore,110
France,2017,2017-08-30,2017-08-30,0 days,Europe,Paris,50-99,social restrictions,ignore,110
France,2017,2017-09-12,2017-09-12,0 days,Europe,Paris; national,>10000,labor wage dispute,crowd dispersal,110
France,2017,2017-09-18,2017-09-18,0 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2017,2017-09-23,2017-09-23,0 days,Europe,Paris,2000-4999,labor wage dispute,ignore,110
France,2017,2017-10-30,2017-10-30,0 days,Europe,Paris,100-999,social restrictions,ignore,110
France,2017,2017-12-15,2017-12-15,0 days,Europe,Dolus d Ol ron,100-999,land farm issue,ignore,110
France,2018,2018-01-12,2018-01-23,11 days,Europe,national,100-999,labor wage dispute,crowd dispersal,110
France,2018,2018-01-15,2018-01-15,0 days,Europe,Beaucaire,100-999,social restrictions,ignore,110
France,2018,2018-01-15,2018-01-18,3 days,Europe,Notre Dame des Landes,100-999,land farm issue,accomodation,110
France,2018,2018-03-22,2018-03-22,0 days,Europe,national,>10000,labor wage dispute,ignore,110
France,2018,2018-04-03,2018-04-04,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-04-08,2018-04-09,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-04-09,2018-04-15,6 days,Europe,Nantes,100-999,"political behavior, process",crowd dispersal,110
France,2018,2018-04-13,2018-04-14,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-04-13,2018-04-13,0 days,Europe,Sorbonne University,50-99,"political behavior, process",crowd dispersal,110
France,2018,2018-04-16,2018-04-16,0 days,Europe,Nanterre University,100-999,"political behavior, process",crowd dispersal,110
France,2018,2018-04-18,2018-04-19,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-04-19,2018-04-19,0 days,Europe,national,>10000,labor wage dispute,crowd dispersal,110
France,2018,2018-04-23,2018-04-24,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-04-28,2018-04-29,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-05-01,2018-05-01,0 days,Europe,Paris,>10000,labor wage dispute,crowd dispersal,110
France,2018,2018-05-03,2018-05-04,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-05-05,2018-05-05,0 days,Europe,Paris,5000-10000,"political behavior, process",crowd dispersal,110
France,2018,2018-05-08,2018-05-09,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-05-13,2018-05-14,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-05-14,2018-05-14,0 days,Europe,Lyons; Marseilles,1000-1999,"political behavior, process",ignore,110
France,2018,2018-05-17,2018-05-17,0 days,Europe,Paris,5000-10000,labor wage dispute,ignore,110
France,2018,2018-05-18,2018-05-19,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-05-22,2018-05-22,0 days,Europe,Paris; national,>10000,labor wage dispute,arrests,110
France,2018,2018-05-23,2018-05-24,1 days,Europe,Paris,50-99,labor wage dispute,ignore,110
France,2018,2018-06-11,2018-06-11,0 days,Europe,Paris,50-99,land farm issue,ignore,110
France,2018,2018-06-14,2018-06-14,0 days,Europe,Paris,2000-4999,"price increases, tax policy",ignore,110
France,2018,2018-07-15,2018-07-15,0 days,Europe,Perpignan,50-99,land farm issue,accomodation,110
France,2018,2018-07-24,2018-07-24,0 days,Europe,Tour de France,50-99,land farm issue,crowd dispersal,110
France,2018,2018-09-01,2018-09-01,0 days,Europe,Marseille,50-99,labor wage dispute,ignore,110
France,2018,2018-11-15,2018-11-15,0 days,Europe,Marseille,>10000,land farm issue,ignore,110
France,2018,2018-11-17,2018-11-18,1 days,Europe,national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-11-19,2018-11-19,0 days,Europe,national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-11-22,2018-11-22,0 days,Europe,La R union,100-999,"price increases, tax policy",crowd dispersal,110
France,2018,2018-11-24,2018-11-26,2 days,Europe,Paris; national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-12-01,2018-12-01,0 days,Europe,Paris; national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-12-03,2018-12-03,0 days,Europe,national,100-999,"political behavior, process",ignore,110
France,2018,2018-12-08,2018-12-08,0 days,Europe,Paris; national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-12-10,2018-12-10,0 days,Europe,national,100-999,"political behavior, process",ignore,110
France,2018,2018-12-15,2018-12-15,0 days,Europe,Paris; national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-12-19,2018-12-19,0 days,Europe,Cr teil; Bordeaux,100-999,labor wage dispute,accomodation,110
France,2018,2018-12-22,2018-12-22,0 days,Europe,Paris; national,>10000,"price increases, tax policy",crowd dispersal,110
France,2018,2018-12-29,2018-12-29,0 days,Europe,Paris; national,>10000,"price increases, tax policy",crowd dispersal,110
Spain,2016,2016-01-11,2016-01-11,0 days,Europe,"Palma, Majorca",50-99,"political behavior, process",ignore,47
Spain,2016,2016-02-13,2016-02-24,11 days,Europe,Grenada; Madrid; national,100-999,"political behavior, process",ignore,47
Spain,2016,2016-03-13,2016-03-13,0 days,Europe,Valencia,2000-4999,"political behavior, process",ignore,47
Spain,2016,2016-07-11,2016-07-11,0 days,Europe,Pamplona,2000-4999,"political behavior, process",accomodation,47
Spain,2016,2016-09-10,2016-09-10,0 days,Europe,Madrid,>10000,"political behavior, process",ignore,47
Spain,2016,2016-09-11,2016-09-11,0 days,Europe,Barcelona; Catalonia,>10000,"political behavior, process",ignore,47
Spain,2016,2016-10-29,2016-10-29,0 days,Europe,Madrid,2000-4999,removal of politician,ignore,47
Spain,2016,2016-12-15,2016-12-19,4 days,Europe,Madrid; national,2000-4999,labor wage dispute,ignore,47
Spain,2017,2017-01-14,2017-01-14,0 days,Europe,"Bilbao, Spain",>10000,police brutality,ignore,47
Spain,2017,2017-02-06,2017-02-06,0 days,Europe,Barcelona,>10000,"political behavior, process",ignore,47
Spain,2017,2017-02-18,2017-02-18,0 days,Europe,"Barcelona, Spain",>10000,"political behavior, process",ignore,47
Spain,2017,2017-06-15,2017-06-15,0 days,Europe,Madrid,5000-10000,"political behavior, process",ignore,47
Spain,2017,2017-07-01,2017-07-01,0 days,Europe,Madrid,>10000,social restrictions,ignore,47
Spain,2017,2017-08-26,2017-08-26,0 days,Europe,Barcelona,>10000,"political behavior, process",ignore,47
Spain,2017,2017-09-11,2017-09-11,0 days,Europe,Barcelona,>10000,"political behavior, process",ignore,47
Spain,2017,2017-09-20,2017-09-21,1 days,Europe,Catalonia; Madrid,>10000,police brutality,ignore,47
Spain,2017,2017-09-24,2017-09-24,0 days,Europe,Barcelona; Catalonia,5000-10000,"political behavior, process",ignore,47
Spain,2017,2017-09-28,2017-09-28,0 days,Europe,Barcelona; Catalonia,5000-10000,"political behavior, process",ignore,47
Spain,2017,2017-09-30,2017-09-30,0 days,Europe,Barcelona,1000-1999,"political behavior, process",ignore,47
Spain,2017,2017-09-30,2017-10-01,1 days,Europe,Catalonia,1000-1999,"political behavior, process",crowd dispersal,47
Spain,2017,2017-10-01,2017-10-01,0 days,Europe,Barcelona,2000-4999,"political behavior, process",crowd dispersal,47
Spain,2017,2017-10-02,2017-10-03,1 days,Europe,Barcelona,>10000,police brutality,ignore,47
Spain,2017,2017-10-07,2017-10-08,1 days,Europe,Madrid; Barcelona,>10000,"political behavior, process",ignore,47
Spain,2017,2017-10-12,2017-10-12,0 days,Europe,Barcelona,2000-4999,"political behavior, process",ignore,47
Spain,2017,2017-10-17,2017-10-17,0 days,Europe,Barcelona,>10000,police brutality,ignore,47
Spain,2017,2017-10-21,2017-10-21,0 days,Europe,Barcelona,>10000,police brutality,ignore,47
Spain,2017,2017-10-27,2017-10-27,0 days,Europe,Barcelona,>10000,"political behavior, process",ignore,47
Spain,2017,2017-10-29,2017-10-29,0 days,Europe,Barcelona,>10000,"political behavior, process",ignore,47
Spain,2017,2017-11-02,2017-11-02,0 days,Europe,Catalonia,>10000,police brutality,ignore,47
Spain,2017,2017-11-08,2017-11-08,0 days,Europe,Barcelona; Catalonia,5000-10000,police brutality,ignore,47
Spain,2017,2017-11-11,2017-11-11,0 days,Europe,Barcelona,>10000,police brutality,ignore,47
Spain,2017,2017-11-11,2017-11-11,0 days,Europe,Catalonia,100-999,social restrictions,crowd dispersal,47
Spain,2018,2018-01-01,2018-01-11,10 days,Europe,ARCHIDONA,50-99,"political behavior, process",ignore,47
Spain,2018,2018-01-30,2018-01-30,0 days,Europe,Catalonia,2000-4999,police brutality,ignore,47
Spain,2018,2018-02-25,2018-02-25,0 days,Europe,Barcelona,100-999,"political behavior, process",ignore,47
Spain,2018,2018-03-04,2018-03-04,0 days,Europe,Barcelona,>10000,"political behavior, process",ignore,47
Spain,2018,2018-03-08,2018-03-08,0 days,Europe,national,>10000,social restrictions,ignore,47
Spain,2018,2018-03-15,2018-03-15,0 days,Europe,Madrid,100-999,police brutality,crowd dispersal,47
Spain,2018,2018-03-25,2018-03-25,0 days,Europe,Catalonia,>10000,police brutality,crowd dispersal,47
Spain,2018,2018-04-15,2018-04-15,0 days,Europe,Barcelona,>10000,social restrictions,ignore,47
Spain,2018,2018-04-28,2018-04-28,0 days,Europe,Pamplona,>10000,"political behavior, process",ignore,47
Spain,2018,2018-06-10,2018-06-10,0 days,Europe,Catalonia; northern Basque region,>10000,"political behavior, process",ignore,47
Spain,2018,2018-06-21,2018-06-21,0 days,Europe,Pamplona; national,100-999,"political behavior, process",ignore,47
Spain,2018,2018-09-29,2018-09-29,0 days,Europe,Barcelona,100-999,"political behavior, process",crowd dispersal,47
Spain,2018,2018-10-01,2018-10-01,0 days,Europe,Barcelona; Girona,>10000,"political behavior, process",crowd dispersal,47
Spain,2018,2018-11-25,2018-11-25,0 days,Europe,Madrid; national,5000-10000,"political behavior, process",ignore,47
Spain,2018,2018-12-21,2018-12-21,0 days,Europe,Barcelona,50-99,"political behavior, process",crowd dispersal,47
Portugal,2016,2016-03-28,2016-03-28,0 days,Europe,Lisbon,50-99,"political behavior, process",ignore,5
Portugal,2018,2018-09-21,2018-09-27,6 days,Europe,"Major cities nationwide, including Porto; Faro",100-999,"political behavior, process",accomodation,5
Portugal,2018,2018-09-22,2018-09-22,0 days,Europe,Lisbon,100-999,"political behavior, process",ignore,5
Portugal,2018,2018-09-22,2018-09-22,0 days,Europe,Porto,50-99,"political behavior, process",ignore,5
Portugal,2018,2018-12-21,2018-12-21,0 days,Europe,Nationwide,100-999,"political behavior, process",ignore,5
Germany,2016,2016-01-04,2016-01-04,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-01-05,2016-01-05,0 days,Europe,Colognes Cathedral,100-999,"political behavior, process",ignore,117
Germany,2016,2016-01-09,2016-01-09,0 days,Europe,Cologne,1000-1999,social restrictions,crowd dispersal,117
Germany,2016,2016-01-09,2016-01-09,0 days,Europe,Cologne,1000-1999,removal of politician,crowd dispersal,117
Germany,2016,2016-01-11,2016-01-11,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-01-11,2016-01-11,0 days,Europe,Leipzig,50-99,"political behavior, process",ignore,117
Germany,2016,2016-01-18,2016-01-18,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-01-25,2016-01-25,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-02-01,2016-02-01,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-02-08,2016-02-08,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-02-15,2016-02-15,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-02-22,2016-02-22,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-02-29,2016-02-29,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-03-07,2016-03-07,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-03-14,2016-03-14,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-03-21,2016-03-21,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-03-28,2016-03-28,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-04-04,2016-04-04,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-04-11,2016-04-11,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-04-18,2016-04-18,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-04-25,2016-04-25,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-04-30,2016-04-30,0 days,Europe,Stuttgart,2000-4999,"political behavior, process",crowd dispersal,117
Germany,2016,2016-05-02,2016-05-02,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-05-09,2016-05-09,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-05-16,2016-05-16,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-05-23,2016-05-23,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-05-28,2016-05-28,0 days,Europe,Berlin,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-05-30,2016-05-30,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-06-06,2016-06-06,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-06-13,2016-06-13,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-06-20,2016-06-20,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-06-27,2016-06-27,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-07-02,2016-07-02,0 days,Europe,Berlin,100-999,"political behavior, process",ignore,117
Germany,2016,2016-07-04,2016-07-04,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-07-09,2016-07-10,1 days,Europe,Berlin,2000-4999,"political behavior, process",crowd dispersal,117
Germany,2016,2016-07-11,2016-07-11,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-07-18,2016-07-18,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-07-25,2016-07-25,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-08-01,2016-08-01,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-08-08,2016-08-08,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-08-15,2016-08-15,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-08-22,2016-08-22,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-08-29,2016-08-29,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-09-05,2016-09-05,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-09-12,2016-09-12,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-09-19,2016-09-19,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-09-26,2016-09-26,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2016,2016-10-03,2016-10-03,0 days,Europe,Dresden,2000-4999,"political behavior, process",ignore,117
Germany,2017,2017-01-10,2017-01-10,0 days,Europe,Hamburg,50-99,"political behavior, process",ignore,117
Germany,2017,2017-03-15,2017-03-15,0 days,Europe,Kreuzberg Berlin,100-999,"political behavior, process",ignore,117
Germany,2017,2017-04-03,2017-04-03,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-04-10,2017-04-10,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-04-17,2017-04-17,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-04-24,2017-04-24,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-05-01,2017-05-01,0 days,Europe,Kreuzberg; Berlin; national,>10000,labor wage dispute,ignore,117
Germany,2017,2017-05-01,2017-05-01,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-05-08,2017-05-08,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-05-15,2017-05-15,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-05-22,2017-05-22,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-05-29,2017-05-29,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-06-05,2017-06-05,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-06-12,2017-06-12,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-06-19,2017-06-19,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-06-26,2017-06-26,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-07-03,2017-07-03,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-07-10,2017-07-10,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-07-17,2017-07-17,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-07-24,2017-07-24,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-07-31,2017-07-31,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-08-02,2017-08-02,0 days,Europe,Berlin,50-99,"price increases, tax policy",ignore,117
Germany,2017,2017-08-07,2017-08-07,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-08-14,2017-08-14,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-08-21,2017-08-21,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-08-28,2017-08-28,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-09-04,2017-09-04,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-09-11,2017-09-11,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
Germany,2017,2017-09-18,2017-09-18,0 days,Europe,Stuttgart,50-99,land farm issue,ignore,117
